ticker,period_end,duration,metric,value,currency,line_item,source_column,source_line,form,filing_date,source_url
NKE,2023-05-31,instant,noncurrent_lease_liabilities,2786000000.0,USD,Operating lease liabilities,2023,1672,10-K,2024-07-25,https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/nke-20240531.htm
NKE,2023-05-31,instant,other_current_assets,1942000000.0,USD,Prepaid expenses and other current assets,2023,1654,10-K,2024-07-25,https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/nke-20240531.htm
NKE,2023-05-31,instant,other_current_liabilities,5723000000.0,USD,Accrued liabilities,2023,1668,10-K,2024-07-25,https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/nke-20240531.htm
NKE,2023-05-31,instant,short_term_investments,3234000000.0,USD,Short-term investments,2023,1651,10-K,2024-07-25,https://www.sec.gov/Archives/edgar/data/320187/000032018724000044/nke-20240531.htm
NKE,2024-05-31,annual,capital_expenditures,812000000.0,USD,"Additions to property, plant and equipment",2024,1706,10-K,2026-07-15,https://www.sec.gov/Archives/edgar/data/320187/000032018726000088/nke-20260531.htm
NKE,2024-05-31,annual,cash_from_operations,7429000000.0,USD,Cash provided (used) by operations,2024,1701,10-K,2026-07-15,https://www.sec.gov/Archives/edgar/data/320187/000032018726000088/nke-20260531.htm
NKE,2024-05-31,annual,cost_of_revenue,28475000000.0,USD,Cost of sales,2024,1596,10-K,2026-07-15,https://www.sec.gov/Archives/edgar/data/320187/000032018726000088/nke-20260531.htm
NKE,2024-05-31,annual,depreciation_amortization,796000000.0,USD,Depreciation and amortization,2024,1691,10-K,2026-07-15,https://www.sec.gov/Archives/edgar/data/320187/000032018726000088/nke-20260531.htm
NKE,2024-05-31,annual,dividends_paid,2169000000.0,USD,Dividends — common and preferred,2024,1713,10-K,2026-07-15,https://www.sec.gov/Archives/edgar/data/320187/000032018726000088/nke-20260531.htm
NKE,2024-05-31,annual,gross_profit,22887000000.0,USD,Gross profit,2024,1597,10-K,2026-07-15,https://www.sec.gov/Archives/edgar/data/320187/000032018726000088/nke-20260531.htm
NKE,2024-05-31,annual,income_tax_expense,1000000000.0,USD,Income tax expense,2024,1604,10-K,2026-07-15,https://www.sec.gov/Archives/edgar/data/320187/000032018726000088/nke-20260531.htm
